issue,subject,company,status,product_area,response,justification,request_type,inferred_company,latency_ms
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,replied,team_and_enterprise,"I understand how frustrating it is to lose access to your workspace. Unfortunately, I don't have specific documentation covering seat removal and access restoration for non-admin users. According to the documentation available, access management and user removal are controlled by your workspace admin or owner. Since you're not an admin or owner, you'll need to contact your IT admin or workspace owner to request that your seat be restored. If you believe this was done in error, please reach out to your organization's Claude administrator or contact Claude support directly for assistance with your account access.","The documentation covers admin-level role management and data handling for removed users, but does not address the process for non-admin users to request access restoration after seat removal. This requires direct support intervention or admin action.",product_issue,,9276
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,replied,general_help,"I understand your frustration with your test score. However, I don't have specific documentation covering score disputes or manual score reviews for candidates. Test grading is handled by the HackerRank platform based on your submitted answers, and score changes after evaluation are typically not reflected back to recruiting systems. According to the Greenhouse integration FAQ, 'Greenhouse does not update the score after the result is synced,' which reflects how most ATS integrations work. For a formal review of your test performance and answers, please contact HackerRank support directly with details about your test and the specific questions you'd like reviewed. They can investigate whether there was a grading issue and advise on next steps with the recruiting company.","The ticket requests a manual score review and intervention with a hiring company—both account-specific and outside the scope of standard documentation. The excerpts confirm that score changes post-sync are not typically reflected in recruiting systems, but do not cover dispute procedures. Per the corpus gap rule, I'm replying with available context and directing the user to support.",product_issue,,9635
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,replied,general_support,"I understand your frustration with receiving the wrong product. However, I don't have specific documentation covering merchant disputes or refund requests for incorrect items. Visa's role in payment processing is different from merchant dispute resolution, which typically falls under your card issuer's dispute process or consumer protection laws in your region. Please contact your Visa card issuer directly to report this transaction and request a chargeback or dispute investigation. They can review the case and work toward a resolution. You may also want to document your communication attempts with the merchant for the dispute claim.","The documentation provided covers merchant minimum transaction amounts and travel support, but does not address dispute resolution, refunds for incorrect merchandise, or merchant sanctions. This requires escalation to the card issuer, not Visa support.",product_issue,,7802
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,replied,mock_interviews,"I understand how frustrating it is when your mock interview experience is interrupted. According to payments-and-billing-faqs.md, if you're not satisfied with your mock interview, you should contact help@hackerrank.com and the support team will promptly review your request. They can assess what happened and determine the appropriate resolution, which may include a refund. Please reach out to that email address with details about when your interview stopped and any other relevant information.",The documentation provides a clear escalation path for mock interview issues and refund requests through the support email. This is an account-specific issue that requires support team investigation rather than a platform-wide outage.,product_issue,,8221
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,replied,payments_and_billing,"I understand you're frustrated with your payment issue. I don't have specific documentation for investigating individual payment orders or processing refunds for specific transaction IDs. According to payments-and-billing-faqs.md, if any amount was deducted incorrectly, it will be refunded within 5–10 business days. For assistance with your specific order (cs_live_abcdefgh), please contact HackerRank support directly with your order ID so they can investigate and resolve this for you.","The ticket describes an account-specific payment issue requiring investigation of a particular transaction. While the documentation covers general payment failure procedures, it does not address order-specific disputes or refund processing for individual cases.",product_issue,HackerRank,8361
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,account,"Thank you for your interest in using HackerRank for hiring. According to the quick-start-guide-for-recruiters.md, HackerRank is a technology hiring platform designed to help companies efficiently hire skilled developers. However, I don't have specific documentation covering your company's infosec process or form completion procedures. For assistance with security assessments, compliance questionnaires, or vendor onboarding forms specific to your organization, please contact our support team directly—they can guide you through the appropriate channels and connect you with the right team.","The ticket requests help with a company-specific infosec process, which is outside the scope of the available documentation. Per the corpus gap rule, this should be replied with guidance to contact support rather than escalated.",product_issue,HackerRank,4101
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,general_help,"I don't have specific documentation for this issue. The problem you're describing—not being able to see an apply tab and submissions not working—requires account-specific investigation. Please contact HackerRank support directly with details about which page or feature you're trying to access, and they can help diagnose the issue.","The provided documentation covers certifications, integrations, and Greenhouse ATS features, but does not address UI visibility issues or submission problems. This appears to be an account or feature-specific issue rather than a platform-wide outage.",product_issue,,6008
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,,We've received your report that submissions are not working across challenges on the platform. This appears to be a platform-wide issue affecting your ability to submit solutions. Our support team has been notified and will investigate this immediately. Please provide your email address and the test or challenge names you were attempting so we can prioritize your case.,"The ticket describes a complete platform-wide outage where submissions are failing across ALL challenges, which meets the escalation criteria for site-wide functionality issues that prevent users from using core platform features.",bug,,6568
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,interviews,"I don't have specific documentation for Zoom connectivity issues during compatibility checks. However, according to network-monitoring-in-hackerrank-interviews.md, HackerRank Interviews includes network monitoring features that display signal bars in the top right corner to help identify connection problems. I recommend: 1) Verify your internet connection is stable, 2) Check that Zoom is properly installed and updated, 3) Review your firewall/network settings to ensure Zoom can connect. If the issue persists after these steps, please contact HackerRank support at help@hackerrank.com with details about your system configuration and the specific error message you're seeing.","The documentation covers network monitoring in interviews but does not specifically address Zoom compatibility check blockers or troubleshooting steps. Per guidelines, missing documentation is not grounds for escalation; the user should be directed to support.",product_issue,,9729
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,replied,interviews,"Thank you for reaching out. According to the rescheduling-an-interview documentation, HackerRank does support rescheduling assessments to a different time, and the system automatically sends email notifications to all parties with the updated time. However, I don't have specific documentation covering the process for candidates to request a reschedule due to missed assessments. Please contact HackerRank support directly with your request, including your company name, assessment details, and preferred alternative dates. The support team will be able to assist you with rescheduling your assessment.","The documentation confirms rescheduling is possible but does not cover the candidate-initiated request process for missed assessments. Per guidelines, missing documentation is not grounds for escalation—the user should contact support directly.",product_issue,,13985
